SERVICES WITHIN AGENCY SCOPE,
CATEGORY,SERVICE
Strategy,Campaign strategy
,Rollout plans
,Communication plan/strategy
,Brand strategy
,Social Media Strategy
,Content Calendar/Strategy
,
Content,Creative Conceptualization
,Campaign tagline/headline/slogan development
,"Video script, scenario & moodboard"
,VO script
,Super Text
,Song / Poem
,Video storyboard
,"Documentry Video structure, format, script & references"
,Documentry Docu-series episodes topics and pilot scenario
,Digital activation ideas 
,On-Ground activation ideas
,Social Media content
,Infographic content
,Radio Ad script
,Video Production Brief
,VO recording
,Booth content
,Kiosk content
,Giveaway ideas
,Gift ideas
,Coffee table book content
,Annual report/company profile content
,Brochure/booklet content
,POS material content
,Hoarding content
,Interview video content
,Influencer content
,English/Arabic translation and transcreation
,Presentation content
,Content proofreading
,
Design,Main Key Visual Direction
,Main Key Visual Master
,Sub Key Visual Design
,Campaign design guidelines and visual language
,Sample design executions & mockups
,Editable open source files preparation 
,Design adaptations (Static)
,Main Key Visual Master Animation
,Sub Key Visual Animation
,Design adaptations (Animatic)
,Design Finalization
,Main Theme Visual Direction
,Main Theme Visual Master Design
,Stage Static Screen Content design
,Stage Animatic transition Screen Content design
,Presentation template/theme design
,Infographic design
,Social Media Post Design (Static)
,Social Media Post Design (Animated) / GIFs
,Packaging design
,Booth theming/design
,Kiosk theming/design
,Giveaway designs
,Event theming
,Gift designs
,Annual report/company profile designs
,POS material designs
,Hoarding design
,Brochure/booklet designs
,Coffee table book design
,Everything graphic design except for logo designs
,Moodboards
,Mockups
,Photography briefs/style guides
,
Management & Supervision,Video Production Supervision
,Photo Shooting Supervision
,Animation Production Supervision
,VO Recording Supervision
,Giveaway/gift production supervision
,Media buying supervision
,Third party management
,Event management supervision
